Priority,Description,MO Type,Checking Attribute,Operation,Value,Vendor
7,,CELLQCIPARA,NSADCINTERRATHOCOMMGROUPID,EQUALS,1,Huawei
2,,CELLRESEL,THRSHSERVLOWQCFGIND,EQUALS,0,Huawei
2,,NRMFBIFREQ,FREQUENCYBAND,EQUALS,78,Huawei
1,,CELLDLSCHALGO,FREQSELJUDGEPERIOD,EQUALS,10,Huawei
8,,CELLQCIPARA,NSADCINTERRATHOCOMMGROUPID,EQUALS,1,Huawei
1,,ANR,EVENTANRMODE,EQUALS,1,Huawei
1,,ANR,NCELLCATHDFORNRTDEL,EQUALS,5,Huawei
1,,CAMGTCFG,SCELLAGINGTIME,EQUALS,15,Huawei
2,,CELLRESEL,SINTRASEARCHCFGIND,EQUALS,1,Huawei
7,,PCCFREQCFG,NSADCPCCA4RSRQTHLD,EQUALS,-28,Huawei
2,,GLOBALPROCSWITCH,X2SONLINKSETUPTYPE,EQUALS,1,Huawei
2,,NSADCMGMTCONFIG,NSADCPCCANCHORINGPOLICY,EQUALS,0,Huawei
1,,ASPARAGROUP,ASPREALLOCSIZE,EQUALS,800,Huawei
1,,CELLCOUNTERPARAGROUP,DLTHRPPDFTHD3,EQUALS,4000,Huawei
2,,CELLOPHOCFG,INTERRATHIGHESTPRI,EQUALS,0,Huawei
1,,CELLCOUNTERPARAGROUP,DLTHRPPDFTHD1,EQUALS,2000,Huawei
2,,CELLDLSCHALGO,MAXMIMORANKPARA,EQUALS,2,Huawei
1,,CAMGTCFG,RELAXEDBHSCCDEACTCQITHD,EQUALS,5,Huawei
2,,CELLMCPARA,TRIGGERQUANTITY,EQUALS,0,Huawei
